"","months_as_customer","age","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital.gains","capital.loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","total_claim_amount","injury_claim","property_claim","vehicle_claim","auto_make","auto_model","auto_year","fraud_reported"
"30",241,45,"IL","500/1000",2000,1104.5,0,"FEMALE","PhD","machine-op-inspct","basketball","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC","Northbrook",5,1,"NO",2,2,"NO",91650,14100,14100,63450,"Accura","TL",2011,"N"
"31",64,25,"IL","250/500",1000,954.16,0,"MALE","Masters","prof-specialty","video-games","husband",53200,0,"Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","SC","Columbus",22,4,"NO",0,0,"?",75600,12600,12600,50400,"Toyota","Corolla",2005,"N"
"34",114,30,"IL","100/300",1000,1558.29,0,"MALE","High School","farming-fishing","video-games","wife",51400,-64000,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","NY","Hillsdale",1,3,"NO",1,2,"?",77110,14020,14020,49070,"Suburu","Impreza",2015,"N"
"35",149,37,"IL","500/1000",500,1415.68,0,"MALE","PhD","prof-specialty","yachting","own-child",0,0,"Single Vehicle Collision","Side Collision","Total Loss","Fire","WV","Hillsdale",17,1,"YES",0,1,"YES",64800,10800,5400,48600,"Audi","A3",1999,"N"
"36",147,33,"OH","100/300",1000,1334.15,6000000,"MALE","High School","craft-repair","reading","not-in-family",53300,-49200,"Single Vehicle Collision","Front Collision","Major Damage","Other","WV","Springfield",15,1,"YES",2,0,"YES",53100,10620,5310,37170,"Mercedes","C300",1995,"Y"
"37",62,28,"IL","100/300",1000,988.45,0,"FEMALE","Masters","protective-serv","camping","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Police","NY","Northbrook",3,1,"?",1,1,"YES",60200,6020,6020,48160,"Suburu","Forrestor",2004,"Y"
"39",431,54,"IN","500/1000",2000,1155.55,0,"FEMALE","MD","craft-repair","bungie-jumping","unmarried",65700,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","NY","Hillsdale",4,3,"?",2,0,"?",62300,12460,6230,43610,"Jeep","Wrangler",2007,"N"
"40",199,37,"IN","250/500",500,1262.08,0,"MALE","JD","tech-support","video-games","wife",48500,0,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","NC","Columbus",4,1,"?",0,3,"NO",60170,10940,10940,38290,"Nissan","Pathfinder",2011,"Y"
"41",79,26,"IL","100/300",500,1451.62,0,"MALE","Associate","tech-support","kayaking","not-in-family",0,-55700,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","WV","Columbus",19,1,"NO",2,2,"?",40000,8000,4000,28000,"BMW","M5",2010,"N"
"42",116,34,"IN","250/500",500,1737.66,0,"MALE","Associate","transport-moving","chess","unmarried",0,-24100,"Single Vehicle Collision","Side Collision","Major Damage","Police","WV","Northbrook",1,1,"?",1,1,"?",97080,16180,16180,64720,"BMW","X5",2001,"Y"
"43",37,23,"IL","500/1000",500,1475.93,0,"FEMALE","College","prof-specialty","hiking","husband",0,-67400,"Multi-vehicle Collision","Side Collision","Minor Damage","Other","SC","Springfield",17,3,"YES",1,0,"NO",51660,5740,5740,40180,"Dodge","RAM",2010,"N"
"44",106,30,"OH","250/500",500,538.17,0,"FEMALE","PhD","transport-moving","reading","own-child",49700,-60200,"Single Vehicle Collision","Rear Collision","Total Loss","Other","NC","Arlington",23,1,"NO",2,2,"NO",51120,5680,5680,39760,"Mercedes","E400",2005,"N"
"46",265,40,"IL","250/500",1000,1454.43,0,"FEMALE","MD","protective-serv","yachting","husband",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","NY","Arlington",17,3,"NO",2,3,"?",55120,6890,0,48230,"Accura","MDX",2002,"N"
"47",163,33,"IN","100/300",500,1240.47,0,"FEMALE","Associate","other-service","polo","husband",35300,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","NC","Northbend",11,3,"YES",1,1,"?",77110,0,14020,63090,"Honda","Civic",2014,"N"
"48",355,47,"OH","500/1000",2000,1273.7,4000000,"MALE","College","other-service","kayaking","husband",0,0,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","WV","Arlington",19,3,"NO",2,1,"NO",62800,6280,6280,50240,"Audi","A3",2003,"Y"
"49",175,34,"IN","500/1000",1000,1123.87,8000000,"FEMALE","PhD","protective-serv","dancing","other-relative",0,0,"Vehicle Theft","?","Trivial Damage","Police","NY","Arlington",5,1,"?",2,0,"YES",7290,810,810,5670,"Volkswagen","Passat",1995,"N"
"54",223,40,"IN","100/300",500,1201.41,0,"FEMALE","JD","priv-house-serv","movies","husband",88400,-46500,"Multi-vehicle Collision","Side Collision","Major Damage","Police","NC","Columbus",7,3,"YES",1,0,"?",70510,12820,12820,44870,"Suburu","Forrestor",1999,"N"
"55",195,39,"OH","250/500",1000,1393.57,0,"MALE","PhD","machine-op-inspct","movies","not-in-family",47600,-39600,"Parked Car","?","Minor Damage","Police","VA","Northbend",5,1,"NO",0,1,"YES",2640,480,480,1680,"Ford","F150",2009,"N"
"57",439,56,"IN","250/500",500,1082.49,0,"FEMALE","PhD","prof-specialty","chess","unmarried",36100,-55000,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC","Columbus",12,3,"?",2,3,"?",56430,0,6270,50160,"Honda","CRV",2014,"N"
"58",94,32,"IN","500/1000",1000,1414.74,0,"FEMALE","Masters","adm-clerical","hiking","own-child",0,0,"Parked Car","?","Minor Damage","None","VA","Riverwood",19,1,"NO",1,3,"NO",2400,300,300,1800,"Chevrolet","Silverado",2014,"N"
"59",11,39,"IL","250/500",2000,1470.06,0,"MALE","PhD","other-service","yachting","husband",56600,-45800,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV","Riverwood",22,1,"YES",0,1,"NO",65790,7310,7310,51170,"Saab","93",2007,"N"
"61",154,34,"IN","100/300",500,795.23,0,"MALE","PhD","machine-op-inspct","base-jumping","other-relative",36900,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","NY","Springfield",15,3,"YES",2,1,"?",69480,15440,0,54040,"Nissan","Maxima",2014,"Y"
"63",119,32,"IL","500/1000",1000,993.51,0,"MALE","High School","armed-forces","bungie-jumping","unmarried",0,-49500,"Single Vehicle Collision","Side Collision","Minor Damage","Other","WV","Hillsdale",12,1,"NO",0,3,"YES",56300,5630,11260,39410,"BMW","M5",2011,"N"
"64",215,42,"OH","500/1000",500,1848.81,0,"MALE","JD","transport-moving","video-games","own-child",0,-49000,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","WV","Northbend",20,3,"YES",2,2,"YES",68520,11420,5710,51390,"Suburu","Legacy",2003,"Y"
"65",295,42,"OH","250/500",2000,1641.73,5000000,"MALE","PhD","sales","chess","not-in-family",62400,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","VA","Riverwood",16,3,"NO",0,0,"NO",59130,6570,6570,45990,"Ford","Escape",2006,"Y"
"68",478,64,"OH","250/500",500,835.02,0,"FEMALE","Associate","adm-clerical","reading","unmarried",59600,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Fire","WV","Hillsdale",17,3,"NO",1,1,"NO",33930,0,3770,30160,"BMW","X6",1998,"N"
"69",128,30,"OH","100/300",1000,1061.33,0,"MALE","MD","machine-op-inspct","movies","own-child",43300,-66200,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","WV","Northbrook",8,1,"NO",0,3,"NO",68530,12460,6230,49840,"Audi","A5",1997,"N"
"70",338,49,"IN","500/1000",1000,1279.08,0,"MALE","MD","other-service","kayaking","own-child",0,-51500,"Parked Car","?","Minor Damage","None","NC","Riverwood",13,1,"NO",0,1,"?",4300,860,860,2580,"Ford","F150",2004,"N"
"71",271,42,"OH","100/300",500,1105.49,0,"FEMALE","Associate","prof-specialty","sleeping","own-child",56200,-50000,"Multi-vehicle Collision","Side Collision","Major Damage","Other","SC","Hillsdale",12,2,"?",2,3,"?",68310,12420,6210,49680,"Audi","A3",2003,"Y"
"73",199,41,"OH","250/500",1000,895.83,0,"FEMALE","Associate","sales","paintball","husband",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","NC","Arlington",10,1,"NO",1,2,"NO",30100,3010,0,27090,"Chevrolet","Malibu",1999,"N"
"74",215,37,"IN","100/300",500,1632.93,0,"FEMALE","College","transport-moving","golf","not-in-family",0,-42900,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Riverwood",7,3,"NO",2,0,"YES",57120,9520,4760,42840,"Mercedes","C300",2002,"N"
"75",192,40,"IL","100/300",1000,1405.99,0,"FEMALE","Associate","sales","yachting","wife",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","VA","Springfield",18,3,"YES",1,0,"YES",42930,9540,4770,28620,"BMW","X6",2005,"N"
"76",120,35,"OH","100/300",1000,1425.54,0,"FEMALE","High School","transport-moving","bungie-jumping","other-relative",78300,0,"Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","SC","Riverwood",22,3,"NO",2,0,"NO",51210,11380,5690,34140,"Ford","Fusion",2010,"N"
"77",270,45,"OH","500/1000",1000,1038.09,0,"FEMALE","College","handlers-cleaners","golf","husband",0,-19700,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY","Springfield",18,3,"NO",1,1,"YES",89400,14900,7450,67050,"Suburu","Legacy",1998,"N"
"78",319,47,"IN","250/500",500,1307.11,0,"MALE","College","transport-moving","dancing","not-in-family",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Police","WV","Northbrook",22,3,"NO",0,2,"?",59730,10860,10860,38010,"Audi","A3",2005,"N"
"80",227,38,"OH","500/1000",500,976.67,0,"FEMALE","PhD","handlers-cleaners","polo","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","SC","Northbrook",16,1,"?",1,2,"?",72200,14440,7220,50540,"BMW","M5",2013,"Y"
"81",137,31,"OH","250/500",2000,1340.43,0,"MALE","High School","exec-managerial","paintball","husband",52700,-40600,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","NC","Arlington",6,3,"NO",1,2,"NO",50800,10160,10160,30480,"Accura","MDX",2005,"N"
"82",244,40,"OH","500/1000",2000,1267.81,5000000,"FEMALE","Masters","exec-managerial","video-games","wife",0,0,"Vehicle Theft","?","Trivial Damage","None","NC","Northbrook",10,1,"?",2,1,"?",6600,660,1320,4620,"Accura","TL",2005,"N"
"83",78,29,"IL","250/500",1000,1234.2,6000000,"MALE","Masters","other-service","bungie-jumping","other-relative",0,0,"Vehicle Theft","?","Minor Damage","Police","NY","Northbrook",3,1,"YES",2,2,"NO",7500,750,1500,5250,"Nissan","Maxima",2002,"N"
"88",134,32,"IL","500/1000",500,1612.43,0,"FEMALE","MD","other-service","yachting","own-child",36400,0,"Single Vehicle Collision","Side Collision","Total Loss","Fire","VA","Springfield",2,1,"?",2,1,"YES",64240,11680,11680,40880,"BMW","3 Series",2015,"N"
"89",31,36,"IL","500/1000",2000,1318.24,9000000,"FEMALE","College","prof-specialty","kayaking","not-in-family",0,-78600,"Parked Car","?","Trivial Damage","None","WV","Arlington",9,1,"NO",0,1,"YES",4700,940,470,3290,"Dodge","Neon",2002,"N"
"91",127,29,"OH","250/500",2000,1326.44,5000000,"FEMALE","High School","sales","board-games","own-child",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","SC","Arlington",12,2,"YES",1,1,"?",66950,10300,10300,46350,"Saab","93",1995,"N"
"92",61,23,"IL","250/500",2000,1136.83,4000000,"FEMALE","Associate","tech-support","exercise","own-child",0,-62400,"Single Vehicle Collision","Side Collision","Major Damage","Police","NY","Columbus",14,1,"NO",0,3,"?",98340,8940,17880,71520,"Honda","Accord",2004,"Y"
"93",207,42,"IL","250/500",2000,1322.78,0,"MALE","PhD","farming-fishing","yachting","own-child",55200,0,"Parked Car","?","Trivial Damage","None","WV","Springfield",9,1,"NO",0,1,"NO",5900,590,590,4720,"BMW","X5",2007,"N"
"95",271,42,"IL","100/300",500,1515.3,0,"FEMALE","High School","machine-op-inspct","hiking","not-in-family",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","SC","Northbend",21,3,"NO",1,0,"NO",93720,17040,8520,68160,"Mercedes","ML350",2005,"N"
"97",325,47,"IN","500/1000",1000,1690.27,0,"FEMALE","Associate","protective-serv","hiking","not-in-family",61500,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","VA","Springfield",11,1,"YES",0,3,"NO",72930,6630,6630,59670,"Dodge","RAM",2006,"Y"
"98",29,25,"IL","250/500",2000,1352.83,0,"MALE","Masters","farming-fishing","skydiving","own-child",0,-71700,"Multi-vehicle Collision","Rear Collision","Minor Damage","Other","SC","Hillsdale",4,4,"YES",1,2,"YES",64890,7210,7210,50470,"Nissan","Pathfinder",2013,"Y"
"99",295,48,"OH","250/500",1000,1148.73,0,"FEMALE","College","machine-op-inspct","kayaking","wife",0,0,"Parked Car","?","Trivial Damage","None","WV","Columbus",6,1,"?",1,2,"YES",5400,900,900,3600,"Saab","95",1999,"N"
"102",80,27,"IL","100/300",1000,1474.17,0,"FEMALE","College","tech-support","exercise","unmarried",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Police","WV","Northbend",13,1,"YES",1,0,"YES",52800,10560,5280,36960,"Saab","95",2004,"N"
"103",279,41,"IL","250/500",500,1497.35,0,"FEMALE","JD","prof-specialty","bungie-jumping","husband",37300,-31700,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NC","Northbrook",16,3,"?",2,3,"NO",28800,0,3600,25200,"Ford","Fusion",2013,"N"
"104",165,33,"OH","100/300",1000,1427.14,0,"FEMALE","Associate","tech-support","kayaking","other-relative",35300,-58100,"Parked Car","?","Minor Damage","Police","WV","Northbend",3,1,"NO",1,1,"NO",2970,330,330,2310,"Toyota","Highlander",2008,"N"
"105",350,54,"OH","500/1000",500,1495.1,0,"MALE","College","other-service","basketball","wife",50500,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","SC","Northbend",15,3,"NO",0,0,"?",93480,15580,7790,70110,"Chevrolet","Malibu",2014,"N"
"107",464,61,"OH","500/1000",1000,1125.37,0,"FEMALE","Associate","prof-specialty","basketball","husband",0,-56400,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","VA","Northbend",6,3,"?",0,2,"YES",79800,6650,19950,53200,"Saab","95",2000,"Y"
"108",118,28,"IN","500/1000",2000,1207.36,0,"FEMALE","High School","handlers-cleaners","camping","own-child",0,-57000,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","WV","Columbus",22,2,"NO",1,0,"?",74200,7420,14840,51940,"Volkswagen","Passat",1997,"N"
"109",298,47,"IL","500/1000",2000,1338.5,0,"FEMALE","PhD","machine-op-inspct","basketball","other-relative",28800,0,"Single Vehicle Collision","Front Collision","Major Damage","Fire","NY","Northbrook",1,1,"?",0,0,"?",70590,10860,10860,48870,"Saab","93",2000,"Y"
"110",87,31,"IN","500/1000",1000,1074.07,0,"FEMALE","Masters","sales","chess","husband",0,-47500,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","NY","Springfield",16,3,"NO",0,3,"YES",60940,5540,11080,44320,"Nissan","Ultima",2006,"Y"
"111",261,42,"OH","250/500",500,1337.56,0,"FEMALE","College","prof-specialty","video-games","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC","Riverwood",18,1,"?",1,2,"YES",74700,7470,14940,52290,"Dodge","RAM",2010,"N"
"112",453,60,"IN","100/300",500,1298.91,6000000,"MALE","PhD","craft-repair","dancing","unmarried",52600,-38800,"Single Vehicle Collision","Front Collision","Major Damage","Fire","NC","Springfield",0,1,"YES",0,0,"?",70000,14000,7000,49000,"Ford","F150",2015,"Y"
"114",168,32,"IN","100/300",1000,1059.52,0,"MALE","MD","protective-serv","camping","own-child",0,-40600,"Multi-vehicle Collision","Side Collision","Major Damage","Other","VA","Hillsdale",13,2,"?",1,1,"?",57720,14430,9620,33670,"Saab","93",2007,"N"
"115",390,51,"OH","250/500",2000,1124.38,0,"MALE","Associate","armed-forces","reading","other-relative",0,0,"Vehicle Theft","?","Minor Damage","None","VA","Northbrook",9,1,"YES",1,1,"YES",7080,1180,1180,4720,"Ford","F150",2001,"N"
"116",258,46,"IN","100/300",1000,1110.37,10000000,"MALE","MD","machine-op-inspct","hiking","other-relative",34400,-56800,"Multi-vehicle Collision","Side Collision","Total Loss","Other","NY","Riverwood",14,3,"NO",0,1,"?",47700,4770,9540,33390,"Accura","MDX",1997,"Y"
"117",107,31,"IL","500/1000",2000,1374.22,0,"FEMALE","PhD","machine-op-inspct","bungie-jumping","other-relative",62000,-63100,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC","Hillsdale",16,1,"NO",0,3,"NO",51260,9320,9320,32620,"Suburu","Legacy",2002,"N"
"122",206,36,"IL","500/1000",500,1625.45,4000000,"FEMALE","MD","other-service","video-games","other-relative",0,-53700,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","NY","Northbrook",11,1,"NO",2,1,"NO",76560,12760,12760,51040,"Ford","Fusion",2008,"Y"
"123",203,38,"IL","250/500",500,1394.43,0,"FEMALE","Masters","other-service","skydiving","not-in-family",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","VA","Columbus",7,1,"?",0,1,"YES",55440,0,6160,49280,"Nissan","Maxima",1999,"Y"
"125",211,35,"IL","100/300",500,1040.75,0,"FEMALE","JD","prof-specialty","paintball","not-in-family",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","WV","Northbend",1,1,"YES",1,1,"?",42000,7000,7000,28000,"BMW","X5",2011,"N"
"126",206,39,"IN","250/500",1000,1302.4,6000000,"MALE","JD","craft-repair","dancing","unmarried",47200,-69700,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","NY","Hillsdale",12,3,"NO",2,3,"YES",36300,3300,9900,23100,"Ford","Escape",2013,"N"
"127",166,38,"IL","100/300",2000,1588.55,0,"MALE","MD","protective-serv","video-games","unmarried",59600,-32100,"Single Vehicle Collision","Side Collision","Total Loss","Other","WV","Columbus",8,1,"NO",0,0,"?",40320,5760,5760,28800,"Suburu","Impreza",2001,"N"
"129",274,43,"OH","100/300",2000,1352.31,0,"MALE","College","farming-fishing","basketball","wife",40700,-47300,"Single Vehicle Collision","Front Collision","Major Damage","Fire","NY","Northbend",22,1,"YES",0,3,"YES",63840,10640,10640,42560,"BMW","X5",2006,"Y"
"131",280,45,"IN","250/500",1000,1397.67,0,"MALE","JD","machine-op-inspct","camping","wife",57900,0,"Multi-vehicle Collision","Front Collision","Minor Damage","Other","NY","Arlington",0,3,"YES",1,2,"NO",84720,14120,14120,56480,"Ford","Escape",1999,"N"
"132",194,39,"IN","250/500",500,823.17,0,"MALE","Masters","adm-clerical","paintball","own-child",0,0,"Multi-vehicle Collision","Front Collision","Major Damage","Other","WV","Columbus",3,3,"?",2,2,"NO",61500,6150,12300,43050,"Dodge","RAM",2012,"N"
"133",112,27,"OH","100/300",500,965.13,0,"FEMALE","Masters","tech-support","exercise","unmarried",60000,-54800,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","NC","Arlington",21,3,"?",0,1,"?",51000,8500,8500,34000,"Nissan","Pathfinder",2013,"N"
"136",171,34,"IN","250/500",2000,1277.25,0,"FEMALE","College","exec-managerial","yachting","other-relative",84900,0,"Single Vehicle Collision","Rear Collision","Major Damage","Police","NY","Springfield",14,1,"NO",1,2,"?",69200,13840,6920,48440,"Volkswagen","Passat",1996,"Y"
"137",200,40,"IL","100/300",1000,1439.34,0,"FEMALE","High School","sales","exercise","other-relative",45300,-20400,"Vehicle Theft","?","Minor Damage","Police","VA","Riverwood",9,1,"?",0,0,"NO",3690,410,410,2870,"Ford","Escape",2015,"N"
"138",120,28,"IL","250/500",1000,1281.27,0,"FEMALE","PhD","tech-support","golf","not-in-family",68900,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Springfield",9,3,"NO",0,3,"?",65500,6550,6550,52400,"BMW","X5",2010,"N"
"139",325,46,"IL","500/1000",500,1348.83,0,"FEMALE","High School","prof-specialty","basketball","wife",46300,-77500,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","NC","Springfield",21,3,"?",1,2,"YES",76120,13840,6920,55360,"Toyota","Camry",1999,"N"
"141",211,35,"OH","100/300",2000,1221.22,0,"MALE","Masters","machine-op-inspct","camping","other-relative",76000,0,"Single Vehicle Collision","Rear Collision","Total Loss","Police","NY","Northbend",2,1,"YES",0,1,"?",52030,9460,4730,37840,"Mercedes","E400",2008,"N"
"142",287,41,"IL","500/1000",2000,968.74,0,"MALE","Masters","transport-moving","video-games","wife",0,-49000,"Vehicle Theft","?","Trivial Damage","None","SC","Northbrook",9,1,"?",2,3,"?",5170,470,940,3760,"Suburu","Forrestor",2001,"N"
"143",122,34,"IN","250/500",1000,1220.71,0,"MALE","PhD","machine-op-inspct","video-games","own-child",58600,-28700,"Parked Car","?","Minor Damage","None","SC","Northbend",5,1,"?",2,1,"YES",8190,1890,1260,5040,"Chevrolet","Silverado",2013,"N"
"144",22,29,"IN","250/500",2000,1238.62,6000000,"MALE","MD","exec-managerial","yachting","other-relative",0,-56200,"Single Vehicle Collision","Rear Collision","Major Damage","Ambulance","SC","Springfield",14,1,"?",2,3,"?",70800,7080,14160,49560,"Accura","MDX",2012,"Y"
"145",106,31,"IL","500/1000",2000,1320.75,0,"FEMALE","JD","farming-fishing","video-games","wife",54100,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Police","WV","Springfield",20,3,"?",0,3,"YES",45630,5070,5070,35490,"Accura","MDX",2011,"N"
